Title;Artist;Album;Year;Genre;Length Seconds;ISRC Code;Language;Country/Origin;Composer/Writer;Release Date;Last Modified
Blinding Lights;The Weeknd;After Hours;2019.0;Synthpop;200;USUG11904280;English;Canada;Abel Tesfaye, Max Martin;2019-11-29;2025-10-21
Shape of You;Ed Sheeran;÷ (Divide);2017.0;Pop;233;GBAHS1700026;English;United Kingdom;Ed Sheeran, Steve Mac, Johnny McDaid;2017-01-06;2025-10-21
Starboy;The Weeknd;Starboy;2016.0;R&B;230;USUG11600925;English;Canada;Abel Tesfaye, Daft Punk, Jason “PooBear” Boyle;2016-09-21;2025-10-21
Awaara Hoon;Mukesh;Awara;1951.0;Bollywood Classic;182;N/A;Hindi;India;Shankar Jaikishan, Raj Kapoor, Shailendra;1951-12-01;2025-10-21
Babuji Dheere Chalna;Geeta Dutt;Aar Paar;1954.0;Bollywood Classic;212;N/A;Hindi;India;O. P. Nayyar, Majrooh Sultanpuri;1954-07-01;2025-10-21
Kisi Ki Muskurahaton Pe Ho Nisar;Mukesh;Anari;1959.0;Bollywood Classic;249;N/A;Hindi;India;Shankar Jaikishan, Shailendra;1959-01-01;2025-10-21
Main Zindagi Ka Saath Nibhaata Chala Gaya;Mohammed Rafi;Hum Dono;1961.0;Bollywood Classic;228;N/A;Hindi;India;Jaidev, Sahir Ludhianvi;1961-02-01;2025-10-21
Sab Kuch Seekha Humne;Mukesh;Anari;1959.0;Bollywood Classic;214;N/A;Hindi;India;Shankar Jaikishan, Shailendra;1959-01-01;2025-10-21
Babu Samjho Ishare;Kishore Kumar;Chalti Ka Naam Gaadi;1958.0;Bollywood Classic;286;N/A;Hindi;India;S. D. Burman, Majrooh Sultanpuri;1958-01-01;2025-10-21
Dil Ka Haal Sune Dilwala;Manna Dey;Shree 420;1955.0;Bollywood Classic;294;N/A;Hindi;India;Shankar Jaikishan, Shailendra;1955-09-01;2025-10-21
Haal Kaisa Hai Janaab Ka;Kishore Kumar;Chalti Ka Naam Gaadi;1958.0;Bollywood Classic;267;N/A;N/A;N/A;N/A;N/A;N/A
Hai Apna Dil To Awara;Hemant Kumar;Solva Saal;1958.0;Bollywood Classic;292;N/A;N/A;N/A;N/A;N/A;N/A
Hum The Woh Thi;Kishore Kumar;Chalti Ka Naam Gaadi;1958.0;Bollywood Classic;221;N/A;N/A;N/A;N/A;N/A;N/A
Mera Joota Hai Japani;Mukesh;Shree 420;1955.0;Bollywood Classic;258;N/A;N/A;N/A;N/A;N/A;N/A
Qismat Ki Hawa Kabhi Naram;C. Ramchandra;Albela;1951.0;Bollywood Classic;273;N/A;N/A;N/A;N/A;N/A;N/A
Sar Jo Tera Chakraye;Mohammed Rafi;Pyaasa;1957.0;Bollywood Classic;247;N/A;N/A;N/A;N/A;N/A;N/A
Yeh Hai Bombay Meri Jaan;Mohammed Rafi;CID;1956.0;Bollywood Classic;237;N/A;N/A;N/A;N/A;N/A;N/A
Abhi Na Jaao Chhod Kar;Mohammed Rafi;Hum Dono;1961.0;Bollywood Classic;247;N/A;N/A;N/A;N/A;N/A;N/A
Aye Meri Zohra Zabeen;Manna Dey;Waqt;1965.0;Bollywood Classic;203;N/A;N/A;N/A;N/A;N/A;N/A
Beqarar Karke Hume Yun Na Jaiye;Hemant Kumar;Bees Saal Baad;1962.0;Bollywood Classic;189;N/A;N/A;N/A;N/A;N/A;N/A
Ek Ladki Bhigi Bhagi Si  Chalti Ka Naam Gaadi Songs  Kishore Kumar  Madhubala  Rain Song;Kishore Kumar;Chalti Ka Naam Gaadi;1958.0;Bollywood Classic;234;N/A;N/A;N/A;N/A;N/A;N/A
Jane Kahan Mera Jigar Gaya Ji;Mohammed Rafi;N/A;1955.0;Bollywood Classic;226;N/A;N/A;N/A;N/A;N/A;N/A
Pyar Hua Ikrar Hua;Lata Mangeshkar;Shree 420;1955.0;Bollywood Classic;284;N/A;N/A;N/A;N/A;N/A;N/A
SAIYAARA;Kishore Kumar;N/A;N/A;Bollywood Classic;238;N/A;N/A;N/A;N/A;N/A;N/A
Maikada;Muhammad Samie;N/A;N/A;N/A;432;15/08/2025 11:16:53 pm;N/A;N/A;N/A;N/A;N/A
SAEEN - Instrumental;Usman Riaz;N/A;N/A;N/A;384;N/A;N/A;N/A;N/A;N/A;N/A
Aaj Kal Tere Mere Pyar Ke Charche  Brahmachari (1968)  Shammi Kapoor  Mumtaz  Pran  Hindi Song;Mohammed Rafi;Brahmachari;1968.0;Bollywood Classic;294;N/A;N/A;N/A;N/A;N/A;N/A
